category,model_key,name,provider,price_raw,upper_usd,unit,credits_per_unit,credits_at_5s_or_fixed
text-to-video,sora2_text_to_video,Sora 2,OpenAI,$0.10/s,0.10,per-second,10,50
text-to-video,sora2_text_to_video_pro,Sora 2 Pro,OpenAI,$0.30-0.50/s,0.50,per-second,50,250
text-to-video,kling_v3_pro_t2v,Kling v3 Pro,Kling AI,$0.336/s,0.336,per-second,33.6,168
text-to-video,kling_v3_standard_t2v,Kling v3 Standard,Kling AI,$0.252/s,0.252,per-second,25.2,126
text-to-video,kling_v26_pro_t2v,Kling v2.6 Pro,Kling AI,$0.70/s,0.70,per-second,70,350
text-to-video,wan_26_t2v,WAN v2.6,WAN AI,$0.75/s,0.75,per-second,75,375
text-to-video,ltxv2_pro_t2v,LTX V2 Pro,Lightricks,$0.06/s,0.06,per-second,6,30
text-to-video,ltxv2_fast_t2v,LTX V2 Fast,Lightricks,$0.04-0.16/s,0.16,per-second,16,80
text-to-video,ltx23_pro_t2v,LTX 2.3 Pro,Lightricks,$0.06-0.24/s,0.24,per-second,24,120
text-to-video,ltx23_fast_t2v,LTX 2.3 Fast,Lightricks,$0.04-0.16/s,0.16,per-second,16,80
text-to-video,veo31_fast_text_to_video,Veo 3.1 Fast,Google,$1.20/s,1.20,per-second,120,600
text-to-video,veo31_text_to_video,Veo 3.1,Google,$3.20/s,3.20,per-second,320,1600
text-to-video,veo31_lite_text_to_video,Veo 3.1 Lite,Google,$0.05-0.08/s,0.08,per-second,8,40
text-to-video,hailuo23_standard_t2v,Hailuo 2.3 Standard,MiniMax,$0.28-0.56/s,0.56,per-second,56,280
text-to-video,hailuo23_pro_t2v,Hailuo 2.3 Pro,MiniMax,$0.49/s,0.49,per-second,49,245
text-to-video,seedance,Seedance v1 Lite,ByteDance,$0.18/s,0.18,per-second,18,90
text-to-video,seedance_pro,Seedance v1 Pro,ByteDance,$0.62/s,0.62,per-second,62,310
text-to-video,seedance2,Seedance 2.0,ByteDance,$0.30/s,0.30,per-second,30,150
text-to-video,wan_25_preview,WAN v2.5 Preview,WAN AI,$0.12/s,0.12,per-second,12,60
text-to-video,kling_v2_5_turbo,Kling v2.5 Turbo Pro,Kling AI,$0.18/s,0.18,per-second,18,90
text-to-video,kling_v2_5_turbo_standard,Kling v2.5 Turbo Std,Kling AI,$0.10/s,0.10,per-second,10,50
text-to-video,vidu_q3_t2v,Vidu Q3,Vidu,$0.07-0.154/s,0.154,per-second,15.4,77
text-to-video,gmi_veo31_lite_t2v,Veo 3.1 Lite (GMI),Google,$0.03-0.08/s,0.08,per-second,8,40
text-to-video,gmi_skyreels_v4_t2v,SkyReels V4 (GMI),SkyReels,$0.14/s,0.14,per-second,14,70
text-to-video,gmi_kling_v3_t2v,Kling V3 (GMI),Kling AI,$0.168/s,0.168,per-second,16.8,84
text-to-video,gmi_kling_v3_omni_t2v,Kling V3 Omni (GMI),Kling AI,$0.084-0.14/s,0.14,per-second,14,70
text-to-video,gmi_seedance_2_0_260128_t2v,Seedance 2.0 260128 (GMI),ByteDance,$0.052/s,0.052,per-second,5.2,26
text-to-video,runway_gen45_t2v,Runway Gen4.5,Runway,$0.50/s,0.50,per-second,50,250
text-to-video,runway_gen4_turbo_t2v,Runway Gen4 Turbo,Runway,$0.25/s,0.25,per-second,25,125
image-to-video,sora2_image_to_video,Sora 2 I2V,OpenAI,$0.10/s,0.10,per-second,10,50
image-to-video,sora2_image_to_video_pro,Sora 2 I2V Pro,OpenAI,$0.30-0.50/s,0.50,per-second,50,250
image-to-video,kling_v3_pro_i2v,Kling v3 Pro I2V,Kling AI,$0.336/s,0.336,per-second,33.6,168
image-to-video,kling_v3_standard_i2v,Kling v3 Std I2V,Kling AI,$0.252/s,0.252,per-second,25.2,126
image-to-video,kling_v26_pro_i2v,Kling v2.6 Pro I2V,Kling AI,$0.70/s,0.70,per-second,70,350
image-to-video,ltxv2_i2v,LTX V2 I2V,Lightricks,$0.36/s,0.36,per-second,36,180
image-to-video,ltxv2_fast_i2v,LTX V2 Fast I2V,Lightricks,$0.04-0.16/s,0.16,per-second,16,80
image-to-video,ltx23_fast_i2v,LTX 2.3 Fast I2V,Lightricks,$0.04-0.16/s,0.16,per-second,16,80
image-to-video,seedance_pro_fast_i2v,Seedance v1 Pro Fast,ByteDance,$0.24/s,0.24,per-second,24,120
image-to-video,seedance_pro_i2v,Seedance v1 Pro I2V,ByteDance,$0.62/s,0.62,per-second,62,310
image-to-video,seedance2_i2v,Seedance 2.0 I2V,ByteDance,$0.50/s,0.50,per-second,50,250
image-to-video,seedance2_ref2v,Seedance 2.0 Ref2V,ByteDance,$0.60/s,0.60,per-second,60,300
image-to-video,kling_v2_5_turbo_i2v,Kling v2.5 Turbo Pro I2V,Kling AI,$0.35/s,0.35,per-second,35,175
image-to-video,wan_25_preview_i2v,WAN v2.5 Preview I2V,WAN AI,$0.05-0.15/s,0.15,per-second,15,75
image-to-video,wan_26_i2v,WAN v2.6 I2V,WAN AI,$0.10-0.15/s,0.15,per-second,15,75
image-to-video,veo31_fast_image_to_video,Veo 3.1 Fast I2V,Google,$1.20/s,1.20,per-second,120,600
image-to-video,veo31_fast_frame_to_video,Veo 3.1 Fast Frame-to-Video,Google,$1.20/s,1.20,per-second,120,600
image-to-video,veo31_image_to_video,Veo 3.1 I2V,Google,$3.20/s,3.20,per-second,320,1600
image-to-video,veo31_frame_to_video,Veo 3.1 Frame-to-Video,Google,$3.20/s,3.20,per-second,320,1600
image-to-video,hailuo23_standard,Hailuo 2.3 Standard,MiniMax,$0.28-0.56/s,0.56,per-second,56,280
image-to-video,hailuo23_fast_pro,Hailuo 2.3 Fast Pro,MiniMax,$0.33/s,0.33,per-second,33,165
image-to-video,hailuo23_pro,Hailuo 2.3 Pro,MiniMax,$0.49/s,0.49,per-second,49,245
image-to-video,vidu_q2_turbo_i2v,Vidu Q2 Turbo I2V,Vidu,$0.05/s,0.05,per-second,5,25
image-to-video,kling_o1_i2v,Kling O1 I2V,Kling AI,$0.112/s,0.112,per-second,11.2,56
image-to-video,vidu_q3_i2v,Vidu Q3 I2V,Vidu,$0.07-0.154/s,0.154,per-second,15.4,77
image-to-video,veo31_lite_image_to_video,Veo 3.1 Lite I2V,Google,$0.05-0.08/s,0.08,per-second,8,40
image-to-video,veo31_lite_frame_to_video,Veo 3.1 Lite Frame-to-Video,Google,$0.05-0.08/s,0.08,per-second,8,40
image-to-video,pixverse_v6_i2v,PixVerse v6,PixVerse,$0.025-0.09/s,0.09,per-second,9,45
image-to-video,gmi_veo31_lite_i2v,Veo 3.1 Lite I2V (GMI),Google,$0.03-0.08/s,0.08,per-second,8,40
image-to-video,gmi_skyreels_v4_i2v,SkyReels V4 I2V (GMI),SkyReels,$0.14/s,0.14,per-second,14,70
image-to-video,gmi_kling_v3_i2v,Kling V3 I2V (GMI),Kling AI,$0.168/s,0.168,per-second,16.8,84
image-to-video,gmi_kling_v3_omni_i2v,Kling V3 Omni I2V (GMI),Kling AI,$0.084-0.14/s,0.14,per-second,14,70
image-to-video,gmi_kling_motion_control,Kling 3 Motion Control (GMI),Kling AI,$0.126-0.168/s,0.168,per-second,16.8,84
image-to-video,gmi_seedance_2_0_260128_i2v,Seedance 2.0 260128 I2V (GMI),ByteDance,$0.052/s,0.052,per-second,5.2,26
image-to-video,gmi_seedance_2_0_260128_ref2v,Seedance 2.0 260128 Ref2V (GMI),ByteDance,$0.052/s,0.052,per-second,5.2,26
image-to-video,runway_gen45_i2v,Runway Gen4.5 I2V,Runway,$0.50/s,0.50,per-second,50,250
image-to-video,runway_gen4_turbo_i2v,Runway Gen4 Turbo I2V,Runway,$0.25/s,0.25,per-second,25,125
image-to-video,runway_gen3a_turbo_i2v,Runway Gen3a Turbo I2V,Runway,$0.10/s,0.10,per-second,10,50
text-to-image,gemini-3-pro,Gemini 3 Pro,Google,$0.15-0.30,0.30,fixed,30,30
text-to-image,imagen4-ultra,Imagen 4 Ultra,Google,$0.08-0.12,0.12,fixed,12,12
text-to-image,wan-v2-2,WAN v2.2,fal.ai,$0.06-0.10,0.10,fixed,10,10
text-to-image,wan-v2-7-pro-t2i,Wan 2.7 Pro T2I,WAN AI,$0.06-0.10,0.10,fixed,10,10
text-to-image,wan-v2-7-pro-edit,Wan 2.7 Pro Edit,WAN AI,$0.06-0.10,0.10,fixed,10,10
